asset_class,count,pct_of_total,target_2M
options,1379532,87.33,1200000
futures,92796,5.87,100000
crypto,48690,3.08,50000
stock,41977,2.66,200000
etf,11156,0.71,15000
forex,4703,0.30,5000
index,566,0.04,1000
economy,180,0.01,200
bond,151,0.01,500
TOTAL,1579751,100.00,2000000
