symbol,exchange,reason
PGHL.BO,BSE,not_found_on_yahoo
VIKRAMSOLR.NS,NSE,not_found_on_yahoo
MARKSANS.BO,BSE,not_found_on_yahoo
MARKSANS.NS,NSE,not_found_on_yahoo
ZEEL.BO,BSE,not_found_on_yahoo
ZEEL.NS,NSE,not_found_on_yahoo
SONATSOFTW.BO,BSE,not_found_on_yahoo
SONATSOFTW.NS,NSE,not_found_on_yahoo
HMT.NS,NSE,not_found_on_yahoo
TCI.BO,BSE,not_found_on_yahoo
TCI.NS,NSE,not_found_on_yahoo
HMT.BO,BSE,not_found_on_yahoo
V2RETAIL.BO,BSE,not_found_on_yahoo
V2RETAIL.NS,NSE,not_found_on_yahoo
NEWGEN.BO,BSE,not_found_on_yahoo
NEWGEN.NS,NSE,not_found_on_yahoo
MOIL.NS,NSE,not_found_on_yahoo
MOIL.BO,BSE,not_found_on_yahoo
INDIAGLYCO.NS,NSE,not_found_on_yahoo
INDIAGLYCO.BO,BSE,not_found_on_yahoo
PRSMJOHNSN.NS,NSE,not_found_on_yahoo
PRSMJOHNSN.BO,BSE,not_found_on_yahoo
SHREEJISPG.NS,NSE,not_found_on_yahoo
SAPPHIRE.BO,BSE,not_found_on_yahoo
SAPPHIRE.NS,NSE,not_found_on_yahoo
PTC.BO,BSE,not_found_on_yahoo
PTC.NS,NSE,not_found_on_yahoo
ITDC.BO,BSE,not_found_on_yahoo
ITDC.NS,NSE,not_found_on_yahoo
VMART.BO,BSE,not_found_on_yahoo
VMART.NS,NSE,not_found_on_yahoo
GULFOILLUB.BO,BSE,not_found_on_yahoo
GULFOILLUB.NS,NSE,not_found_on_yahoo
AGIIL.BO,BSE,not_found_on_yahoo
AGIIL.NS,NSE,not_found_on_yahoo
VRLLOG.NS,NSE,not_found_on_yahoo
SIS.NS,NSE,not_found_on_yahoo
VRLLOG.BO,BSE,not_found_on_yahoo
SIS.BO,BSE,not_found_on_yahoo
BAJAJELEC.NS,NSE,not_found_on_yahoo
BAJAJELEC.BO,BSE,not_found_on_yahoo
MAHLOG.BO,BSE,not_found_on_yahoo
MAHLOG.NS,NSE,not_found_on_yahoo
PDSL.NS,NSE,not_found_on_yahoo
PDSL.BO,BSE,not_found_on_yahoo
SMSPHARMA.NS,NSE,not_found_on_yahoo
SMSPHARMA.BO,BSE,not_found_on_yahoo
NEOGEN.NS,NSE,not_found_on_yahoo
NEOGEN.BO,BSE,not_found_on_yahoo
IBULLSLTD.BO,BSE,not_found_on_yahoo
MANINFRA.BO,BSE,not_found_on_yahoo
IBULLSLTD.NS,NSE,not_found_on_yahoo
NORTHARC.NS,NSE,not_found_on_yahoo
VISHNU.NS,NSE,not_found_on_yahoo
VISHNU.BO,BSE,not_found_on_yahoo
MANINFRA.NS,NSE,not_found_on_yahoo
AGI.BO,BSE,not_found_on_yahoo
AGI.NS,NSE,not_found_on_yahoo
NAVNETEDUL.NS,NSE,not_found_on_yahoo
NAVNETEDUL.BO,BSE,not_found_on_yahoo
KNRCON.NS,NSE,not_found_on_yahoo
KNRCON.BO,BSE,not_found_on_yahoo
SSWL.NS,NSE,not_found_on_yahoo
SSWL.BO,BSE,not_found_on_yahoo
RSYSTEMS.NS,NSE,not_found_on_yahoo
RSYSTEMS.BO,BSE,not_found_on_yahoo
MPSLTD.NS,NSE,not_found_on_yahoo
MPSLTD.BO,BSE,not_found_on_yahoo
STEELCAS.NS,NSE,not_found_on_yahoo
STEELCAS.BO,BSE,not_found_on_yahoo
SEIL.BO,BSE,not_found_on_yahoo
AUTOAXLES.BO,BSE,not_found_on_yahoo
AUTOAXLES.NS,NSE,not_found_on_yahoo
WINDMACHIN.BO,BSE,not_found_on_yahoo
WINDMACHIN.NS,NSE,not_found_on_yahoo
IOLCP.BO,BSE,not_found_on_yahoo
IOLCP.NS,NSE,not_found_on_yahoo
PARKHOTELS.NS,NSE,not_found_on_yahoo
ADFFOODS.NS,NSE,not_found_on_yahoo
ADFFOODS.BO,BSE,not_found_on_yahoo
SOLARA.BO,BSE,not_found_on_yahoo
SOLARA.NS,NSE,not_found_on_yahoo
ONIXSOLAR.BO,BSE,not_found_on_yahoo
HPL.NS,NSE,not_found_on_yahoo
HPL.BO,BSE,not_found_on_yahoo
SCILAL.NS,NSE,not_found_on_yahoo
