symbol,fullSymbol,name,type,exchange,country,iconUrl,domain,reason,logoSource,logoConfidence
"MTB-J","NYSE:MTB-J","M&T Bank Corporation Depositary Shares each representing a 1/400th ownership interest in a share of Perpetual 7.500% Non-Cumulative Preferred Stock, Series J","stock","NYSE","US","https://logo.clearbit.com/depositaryshares.com","","brand_mismatch: name="M&T Bank Corporation Depositary Shares each representing a 1/400th ownership interest in a share of Perpetual 7.500% Non-Cumulative Preferred Stock, Series J", brand="depositaryshares", sim=0.00","existing",""
"ZCBC","NYSE ARCA:ZCBC","Global X Zero Coupon Bond 2032 ETF","stock","NYSE ARCA","US","https://logo.clearbit.com/global.com","","brand_mismatch: name="Global X Zero Coupon Bond 2032 ETF", brand="global", sim=0.00","",""
"EHCC","BATS:EHCC","Global X Ethereum Covered Call ETF","stock","BATS","US","https://logo.clearbit.com/global.com","","brand_mismatch: name="Global X Ethereum Covered Call ETF", brand="global", sim=0.00","",""
